headline,date,doc_type,material_type,news_desk,section,keywords,url,id,byline
Tree of Life Synagogue Victims Remembered as Guardians of Their Faith,2018-10-28,article,News,National,U.S.,"['Pittsburgh, Pa, Shooting (2018)', 'Jews and Judaism', 'Murders, Attempted Murders and Homicides']",https://www.nytimes.com/2018/10/28/us/pittsburgh-shooting-victims.html,nyt://article/d3e9b861-7516-51d3-b3bf-77bddeafc8d3,"By Simon Romero, Jennifer Medina and Timothy Williams"
New York City to Help Small Theaters Be More Accessible,2018-10-09,article,News,Culture,Theater,"['Theater', 'Deafness', 'Blindness', 'Handheld Computers']",https://www.nytimes.com/2018/10/09/theater/new-york-city-theaters-accessible.html,nyt://article/8706385d-aad2-509e-91e8-4ce2b632daab,By Michael Paulson
When You’re Elderly and Ill and a Storm Is Coming,2018-09-14,article,News,Well,Well,"['Disasters and Emergencies', 'Elder Care', 'Hurricanes and Tropical Storms', 'Elderly', 'Floods', 'Evacuations and Evacuees', 'Hospice Care', 'Home Health Care']",https://www.nytimes.com/2018/09/14/well/live/elderly-disabled-hurricane-safety-advice.html,nyt://article/97189774-554b-5f36-ab41-7f2839b35758,By Roni Caryn Rabin
Three Things to Watch This Week,2018-09-10,article,News,Culture,Arts,"['Television', 'Documentary Films and Programs']",https://www.nytimes.com/2018/09/10/arts/television/three-things-to-watch-this-week.html,nyt://article/aea836cd-4ec2-5e4e-b3bb-4839d582d0ba,By Margaret Lyons
"Korean Families, Separated for 6 Decades, Are Briefly Reunited",2018-08-20,article,News,Foreign,World,"['Korean War', 'International Relations']",https://www.nytimes.com/2018/08/20/world/asia/north-south-korea-family-reunions.html,nyt://article/15b1e20e-e51a-5cff-9fa2-3092b41abf74,By Choe Sang-Hun
"A Long History of Attacking Women, Yet He Was Free to Kill Again",2018-08-15,article,News,National,U.S.,"['Murders, Attempted Murders and Homicides', 'Domestic Violence', 'Ex-Convicts']",https://www.nytimes.com/2018/08/15/us/kimberly-dobbie-stabbing-albert-flick-murder-lewiston.html,nyt://article/ebd45a3d-4e45-51f2-a832-5c813f45c1fd,By Jess Bidgood
New York Today: A Picnic Packing List,2018-08-03,article,briefing,Metro,New York,[],https://www.nytimes.com/2018/08/03/nyregion/new-york-today-best-picnics.html,nyt://article/29e47dda-475c-5221-9dd6-ad1b5ffaee90,By Alexandra S. Levine
Studying the Mechanics of Comedy With 525 Ventriloquists,2018-07-31,article,News,Insider,Times Insider,"['Ventriloquists', 'Theater', 'Puppets']",https://www.nytimes.com/2018/07/31/insider/ventriloquists-convention-behind-the-scenes.html,nyt://article/ebf5bc1d-a96d-5b98-8782-ab5c8c1dbc35,By Elisabeth Vincentelli
What to Know Before Buying a Home With Your Parents,2018-07-20,article,News,RealEstate,Real Estate,"['Real Estate and Housing (Residential)', 'Families and Family Life']",https://www.nytimes.com/2018/07/20/realestate/what-to-know-before-buying-a-home-with-your-parents.html,nyt://article/70e0b565-4526-54ca-a3dc-32d7095ef278,By Claire Zulkey
"Found: Rosa Parks’s Arrest Warrant, and More Traces of Civil Rights History",2018-06-26,article,News,National,U.S.,"['Civil Rights Movement (1954-68)', 'Blacks', 'Black People', 'Archives and Records', 'Boycotts']",https://www.nytimes.com/2018/06/26/us/rosa-parks-montgomery-boycott-files.html,nyt://article/e26fd989-03f5-5a7a-a34f-de3681ddd893,By Alan Blinder
"For Disabled Travelers, Technology Helps Smooth the Way. But Not All of It.",2018-06-25,article,News,Business,Business Day,"['Buses', 'AIRLINES AND AIRPLANES', 'Disabilities', 'AIRPORTS', 'Wheelchairs', 'Deafness']",https://www.nytimes.com/2018/06/25/business/for-disabled-travelers-technology-helps-smooth-the-way-but-not-all-of-it.html,nyt://article/6c5719da-edfc-5482-a08f-9dc2e4a016d1,By Joshua Brockman
Don’t Try to Catch a Komodo Dragon — Unless You’re David Attenborough,2018-05-29,article,Review,BookReview,Books,"['Books and Literature', 'Animal Behavior']",https://www.nytimes.com/2018/05/29/books/review/david-attenborough-adventures-of-a-young-naturalist.html,nyt://article/83a40413-1839-5613-a15b-3b61a0ed9149,By Frans de Waal
Should I Tell My Hosts About My Medical Marijuana?,2018-05-29,article,News,Magazine,Magazine,"['Medical Marijuana', 'Ethics (Personal)', 'Elderly', 'Dementia']",https://www.nytimes.com/2018/05/29/magazine/should-i-tell-my-hosts-about-my-medical-marijuana.html,nyt://article/fe10211e-2827-5a52-a6f8-657348006b56,By Kwame Anthony Appiah
"Repeat Seizures, Memory Loss and Wild Mood Swings: What Is Happening to This Man?",2018-05-21,multimedia,Interactive Feature,Magazine,Magazine,"['Seizures (Medical)', 'Brain', 'Web-Original Programming', 'Emergency Medical Treatment']",https://www.nytimes.com/interactive/2018/05/21/magazine/netflix-diagnosis-series-willie-seizures.html,nyt://interactive/3364272c-0652-5e2e-ba76-3898e6cb9a5d,"By Lisa Sanders, M.D"
"Ireland, Enthusiastic About Gay Rights, Frets Over Abortion",2018-05-21,article,News,Foreign,World,"['ABORTION', 'Referendums', 'Same-Sex Marriage, Civil Unions and Domestic Partnerships', ""Women's Rights"", 'Homosexuality and Bisexuality', 'Politics and Government']",https://www.nytimes.com/2018/05/20/world/europe/ireland-gay-rights-abortion.html,nyt://article/0d43d8ce-4bae-5c3f-ac82-e44324f51732,By Kimiko de Freytas-Tamura
Lauren Ridloff’s Quiet Power: ‘My Life Has Changed in Every Way’,2018-05-11,article,News,Arts&Leisure,Theater,"['Theater', 'Deafness']",https://www.nytimes.com/2018/05/11/theater/lauren-ridloff-children-of-a-lesser-god.html,nyt://article/808bd3e4-740d-58b3-b345-3c3a774df7d1,By Michael Paulson
Finding Closed-Caption Content Online,2018-02-19,article,Question,Business,Technology,"['Video Recordings, Downloads and Streaming', 'Ears and Hearing', 'Computers and the Internet', 'Tablet Computers', 'Deafness']",https://www.nytimes.com/2018/02/19/technology/personaltech/closed-caption-content-online.html,nyt://article/4153e7c1-49c2-5367-86ed-2643a1325651,By J. D. Biersdorfer
David Schwimmer Made Six Short Films About Sexual Harassment. We Annotate One of Them.,2018-01-26,multimedia,Interactive Feature,The Upshot,The Upshot,"['Sexual Harassment', '#MeToo Movement', 'Women and Girls']",https://www.nytimes.com/interactive/2018/01/26/upshot/sexual-harassment-script-react.html,nyt://interactive/1585074b-0f58-57c0-b2b4-15f65d18735f,By Claire Cain Miller
"Weekly News Quiz: Immigration, Golden Globes, President Trump",2018-01-09,multimedia,Interactive Feature,The Learning Network,The Learning Network,[],https://www.nytimes.com/interactive/2018/01/09/learning/09Learning-Network-News-Quiz-Golden-Globes-Immigration-Trump.html,nyt://interactive/d48814d9-d1c7-543f-89a8-1ccb9539b984,By Michael Gonchar
A Generation in Japan Faces a Lonely Death,2017-11-30,article,News,Foreign,World,"['Elderly', 'Death and Dying', 'Economic Conditions and Trends', 'vis-photo']",https://www.nytimes.com/2017/11/30/world/asia/japan-lonely-deaths-the-end.html,nyt://article/2be90009-a98c-5bd9-86f9-e55bfa85bd8f,By Norimitsu Onishi
Making Room for Deaf Performers in Hollywood,2017-10-27,article,News,Arts&Leisure,Movies,"['Movies', 'Deafness', 'ACTORS AND ACTRESSES']",https://www.nytimes.com/2017/10/27/movies/wonderstruck-deaf-actors-millicent-simmonds.html,nyt://article/3131273a-439d-535b-89a3-be0896ab97ac,By Mary Jo Murphy
Making Encounters With Police Officers Safer for People With Disabilities,2017-10-07,article,Op-Ed,OpEd,Opinion,"['Autism', 'Police']",https://www.nytimes.com/2017/10/06/opinion/police-disabilities-safety.html,nyt://article/519fdf47-3b02-58a7-9f0f-a98416b91114,By Steve Silberman
"Edgar Smith, Killer Who Duped William F. Buckley, Dies at 83",2017-09-24,article,Obituary (Obit),Obits,New York,"['Murders, Attempted Murders and Homicides', 'Deaths (Obituaries)']",https://www.nytimes.com/2017/09/24/nyregion/edgar-smith-killer-who-duped-william-f-buckley-dies-at-83.html,nyt://article/30c9da29-3fa9-5463-9eb6-a09fa3690b86,By David Stout
Full Text of Kim Jong-un’s Response to President Trump,2017-09-22,article,Text,Foreign,World,"['International Relations', 'Speeches and Statements', 'United States Politics and Government']",https://www.nytimes.com/2017/09/22/world/asia/kim-jong-un-trump.html,nyt://article/589ee174-4c2c-575e-ba7a-e7d5b6496d26,By The New York Times
Kim’s Rejoinder to Trump’s Rocket Man: ‘Mentally Deranged U.S. Dotard’,2017-09-22,article,News,Foreign,World,['United States International Relations'],https://www.nytimes.com/2017/09/21/world/asia/kim-trump-rocketman-dotard.html,nyt://article/3ed6dce8-593c-54a5-b144-e21a9e1ef3af,By Choe Sang-Hun
Sign Language Interpreter Warned of ‘Pizza’ and ‘Bear Monster’ at Irma Briefing,2017-09-17,article,News,National,U.S.,"['Translation and Interpreters', 'Sign Language', 'Hurricane Irma (2017)', 'Deafness']",https://www.nytimes.com/2017/09/17/us/sign-language-interpreter-irma.html,nyt://article/a17440df-9d2a-576d-bc37-ce91d9771c33,By Christina Caron
Just Above a Handlebar,2017-08-18,article,News,Games,Crosswords & Games,['Crossword Puzzles'],https://www.nytimes.com/2017/08/17/crosswords/daily-puzzle-2017-08-18.html,nyt://article/6aa15846-8251-5df4-bf81-122123e2882c,By Deb Amlen
Scaramucci’s White House Drama Inspires Late-Night Laughs,2017-07-28,article,News,Culture,Arts,[],https://www.nytimes.com/2017/07/28/arts/television/scaramucci-priebus-late-night.html,nyt://article/eb107479-6133-568c-980c-3ac68fb0176a,By Giovanni Russonello
How I Learned to Hate Golf,2017-07-21,article,Op-Ed,OpEd,Opinion,"['British Open (Golf)', 'Golf']",https://www.nytimes.com/2017/07/21/opinion/sunday/british-open-how-i-learned-to-hate-golf.html,nyt://article/9a637fd5-9f34-5762-9cf6-6f6be3cac1a7,By Shane Ryan
Doctors With Disabilities: Why They’re Important,2017-07-11,article,News,Upshot,The Upshot,"['Disabilities', 'Doctors', 'AMERICANS WITH DISABILITIES ACT', 'Medical Schools']",https://www.nytimes.com/2017/07/11/upshot/doctors-with-disabilities-why-theyre-important.html,nyt://article/f475534d-4547-58ca-a354-07b82f0e3836,By Dhruv Khullar
