headline,date,doc_type,material_type,news_desk,section,keywords,url,id,byline
NEW JERSEY GUIDE,1988-01-10,article,News,New Jersey Weekly Desk,New York,[],https://www.nytimes.com/1988/01/10/nyregion/new-jersey-guide.html,nyt://article/9ac6f85c-9f55-59e1-abe3-b969ce2fbad1,By Frank Emblen
TELEVISION,1991-09-08,article,List; Schedule,Arts & Leisure Desk,Arts,"['TELEVISION PROGRAMS', 'Television']",https://www.nytimes.com/1991/09/08/arts/the-new-season-the-annotated-calendar-television.html,nyt://article/9ac8ee52-65b5-5c67-a3c1-ae840eef2556,By Bill Carter
DANCE: MUSIGN GROUP,1983-08-28,article,Review,Cultural Desk,Arts,"['Reviews', 'Dancing']",https://www.nytimes.com/1983/08/28/arts/dance-musign-group.html,nyt://article/9af1d089-d06d-5187-b170-f1e3be1c4bee,By Jennifer Dunning
Television,1977-06-28,article,Archives,None,Archives,[],https://www.nytimes.com/1977/06/28/archives/television.html,nyt://article/9b391265-6cc6-592a-b2a2-696df35f35d4,
"First the Schoolhouse, Then the Home",1998-03-08,article,News,Real Estate Desk,Real Estate,"['Housing', 'Education and Schools']",https://www.nytimes.com/1998/03/08/realestate/first-the-schoolhouse-then-the-home.html,nyt://article/9b3ea88f-a443-5324-bdab-366f389ea77a,By Margot Slade
"Mujahid Farid, 69, Ex-Prisoner Who Advocated for Older Inmates, Dies",2018-11-28,article,Obituary (Obit),Obits,Obituaries,"['Prisons and Prisoners', 'Ex-Convicts', 'Deaths (Obituaries)']",https://www.nytimes.com/2018/11/28/obituaries/mujahid-farid-dead.html,nyt://article/9b3fe1e7-23b2-5405-8c3c-e2e5f91395d0,By Katharine Q. Seelye
Learning About China Is Becoming a Living Reality,1979-04-22,article,Archives,None,Archives,"['International Relations', 'Education and Schools', 'FOREIGN STUDY, TEACHING AND TRAVEL']",https://www.nytimes.com/1979/04/22/archives/learning-about-china-is-becoming-a-living-reality.html,nyt://article/9b4ee64a-9566-5f3f-849f-21aae0cce5a6,By Paul Wilner
Imaginary Prizes Take Aim at Real Problems,2012-11-09,article,News,Business,Giving,"['E-Books and Readers', 'Preventive Medicine', 'Bridges and Tunnels', 'Concussions', 'Philanthropy', 'Sports Injuries', 'Deafness', 'Water Pollution', 'Environment', 'Crowdsourcing (Internet)']",https://www.nytimes.com/2012/11/09/giving/macarthur-fellows-imagine-prizes-to-spur-problem-solving.html,nyt://article/9ba07880-05ad-5b8b-81af-d2712b1133cd,By J. Peder Zane
CONNECTICUT GUIDE,1984-12-23,article,News,Connecticut Weekly Desk,New York,['TERMS NOT AVAILABLE'],https://www.nytimes.com/1984/12/23/nyregion/connecticut-guide-177783.html,nyt://article/9bc64963-63ff-5494-b7e7-2f214f40e929,By Eleanor Charles
The Storytellers Gather With Tales That Teach as Well as Delight,1990-11-10,article,News,Cultural Desk,Arts,['STORY-TELLING'],https://www.nytimes.com/1990/11/10/arts/the-storytellers-gather-with-tales-that-teach-as-well-as-delight.html,nyt://article/9bc930c7-5cea-55cc-a1a4-5d8455e7a887,By C. Gerald Fraser
Question Lingers as F.C.C. Prepares V-Chip Standards,1998-03-12,article,News,Business/Financial Desk,Business Day,"['Computer Chips', 'Sex', 'VIOLENCE', 'Standards and Standardization', 'Television', 'Ratings and Rating Systems', 'Children and Youth']",https://www.nytimes.com/1998/03/12/business/question-lingers-as-fcc-prepares-v-chip-standards.html,nyt://article/9c0c7c4f-43f2-5d25-b1ef-c4dfed59a193,By Lawrie Mifflin
"CONNECTICUT OPINION;

A Child Struggles to Be Understood",1990-04-22,article,News,Connecticut Weekly Desk,New York,"['Children and Youth', 'Speech']",https://www.nytimes.com/1990/04/22/nyregion/connecticut-opinion-a-child-struggles-to-be-understood.html,nyt://article/9c6a383a-a3ed-5ca0-8daa-2f3ac153a083,By Wyn L. Lydecker
